operation,admin0Name,admin0Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType
Armed Clashes in Sudan (Overview),Sudan,SDN,3942,2026-05-31T00:00:00,2026,5,37,Conflict,,,Northern,SD17,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1981456,2026-05-31T00:00:00,2026,5,36,Conflict,,,South Darfur,SD03,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,756764,2026-05-31T00:00:00,2026,5,37,Conflict,,,Central Darfur,SD06,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,361342,2026-05-31T00:00:00,2026,5,36,Conflict,,,West Darfur,SD04,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,406481,2026-05-31T00:00:00,2026,5,37,Conflict,,,South Kordofan,SD07,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,120002,2026-05-31T00:00:00,2026,5,36,Conflict,,,Aj Jazirah,SD15,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,6229,2026-05-31T00:00:00,2026,5,37,Conflict,,,River Nile,SD16,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,21110,2026-05-31T00:00:00,2026,5,36,Conflict,,,Red Sea,SD10,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,371162,2026-05-31T00:00:00,2026,5,36,Conflict,,,West Kordofan,SD18,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,296824,2026-05-31T00:00:00,2026,5,37,Conflict,,,North Kordofan,SD13,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,46435,2026-05-31T00:00:00,2026,5,37,Conflict,,,Sennar,SD14,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,276029,2026-05-31T00:00:00,2026,5,37,Conflict,,,Blue Nile,SD08,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1333,2026-05-31T00:00:00,2026,5,36,Conflict,,,Gedaref,SD12,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,6894,2026-05-31T00:00:00,2026,5,36,Conflict,,,River Nile,SD16,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,14904,2026-05-31T00:00:00,2026,5,36,Conflict,,,White Nile,SD09,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,3942,2026-05-31T00:00:00,2026,5,36,Conflict,,,Northern,SD17,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1743651,2026-05-31T00:00:00,2026,5,37,Conflict,,,Khartoum,SD01,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,6811,2026-05-31T00:00:00,2026,5,37,Conflict,,,Kassala,SD11,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,203068,2026-05-31T00:00:00,2026,5,37,Conflict,,,East Darfur,SD05,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,202994,2026-05-31T00:00:00,2026,5,36,Conflict,,,East Darfur,SD05,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,20975,2026-05-31T00:00:00,2026,5,37,Conflict,,,Red Sea,SD10,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,49566,2026-05-31T00:00:00,2026,5,36,Conflict,,,Sennar,SD14,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1983735,2026-05-31T00:00:00,2026,5,37,Conflict,,,South Darfur,SD03,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,111253,2026-05-31T00:00:00,2026,5,37,Conflict,,,Aj Jazirah,SD15,BA
