,,,, Sectoral Severity ,,,,,,,,,,,,, Humanitarian Condistions/Outcomes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,, Life Threatening ,,, Irreversible Harm ,,"Final Results
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , General Protection , Preliminary Severity based on overlap of sectoral deprivations , Mortality , Malnutrition , Epidemics , FSLA , HR/IHL Violation , Final Severity , Evidence & Comments , Changes severity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Mukjar,SD06130, 2 , 4 , 3 , 4 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 3 , 3 ,, 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Gharb Jabal Marrah,SD06131, 3 , 4 , 3 , 3 , 3 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 , 3 , 2 , 3 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Shamal Jabal Marrah,SD06132, 2 , 4 , 3 , 4 , 4 , 3 , 4 , 4 , 0 , -   , -   , -   , 4 ,, 2 , 3 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Um Dukhun,SD06135, 4 , 4 , 3 , 4 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 4 , 4 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Wadi Salih,SD06137, 4 , 4 , 3 , 5 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 3 , 3 , 1 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Zalingi,SD06138, 4 , 4 , 3 , 4 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 2 , 4 , 3 , 4 , 5 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Wasat Jabal Marrah,SD06139, 2 , 4 , 3 , 4 , 3 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 , 3 , 2 , 4 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Abu Jubayhah,SD07088, 1 , 3 , 3 , 4 , 3 , 4 , 3 , 3 , 3 , -   , -   , -   , 3 , 2 , 3 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Talawdi,SD07089, 1 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 , 2 , 3 ,, 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Abassiya,SD07090, 4 , 4 , 3 , 3 , 3 , 4 , 4 , 3 , 0 , -   , -   , -   , 4 ,, 3 , 2 , 3 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
