,,,," 47,704,781 ", -   ," 3,975,351 "," 10,462,976 "," 28,872,672 "," 20,986,071 "," 8,356,947 "," 22,420,698 "," 15,363,218 "," 27,092,138 "," 882,066 ", -   , -   , -   ,," 32,756,543 "," 33,699,770 ",,,
Location,,,,Populaton,, Clusters' PiN (Number) , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Total Population , Population Group , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , Child Protection ,Severity, Preliminary PiN , Final PiN with refugee , Evidence & Comments ,,
Central Darfur,SD06,Um Dukhun,SD06135," 68,425 ", IDPs ," 47,898 "," 21,233 "," 34,213 "," 6,955 "," 12,317 "," 33,672 "," 36,351 "," 47,898 ", -   ,,,,4," 47,898 "," 47,898 ", Yes ,,
Central Darfur,SD06,Wadi Salih,SD06137," 86,332 ", IDPs ," 60,432 "," 35,724 "," 64,567 "," 69,066 "," 15,540 "," 54,800 "," 56,961 "," 69,066 ", -   ,,,,4," 69,066 "," 69,066 ", Yes ,,
Central Darfur,SD06,Zalingi,SD06138," 219,137 ", IDPs ," 153,396 "," 74,883 "," 187,275 "," 158,425 "," 39,445 "," 152,850 "," 197,223 "," 197,223 ", -   ,,,,4," 197,223 "," 197,223 ", No ,,
Central Darfur,SD06,Wasat Jabal Marrah,SD06139," 213,623 ", IDPs , -   ," 75,775 "," 189,633 "," 65,796 "," 38,452 "," 105,469 "," 183,716 "," 189,633 ", -   ,,,,4," 189,633 "," 189,633 ", Yes ,,
South Kordofan,SD07,Abu Jubayhah,SD07088," 53,048 ", IDPs , -   ," 19,632 "," 47,743 "," 38,351 "," 9,656 "," 26,514 "," 46,417 "," 47,743 ", -   ,,,,3," 47,743 "," 47,743 ", Yes ,,
South Kordofan,SD07,Talawdi,SD07089," 10,979 ", IDPs , -   ," 1,250 "," 5,352 "," 6,427 "," 1,998 "," 5,490 "," 6,427 "," 6,427 ", -   ,,,,3," 6,427 "," 6,427 ", Yes ,,
South Kordofan,SD07,Abassiya,SD07090," 65,552 ", IDPs ," 45,886 "," 26,168 "," 51,969 "," 31,048 "," 11,932 "," 43,757 "," 58,996 "," 58,997 ", -   ,,,,4," 58,997 "," 58,997 ", Yes ,,
South Kordofan,SD07,Um Durein,SD07091, -   , IDPs , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,3, -   , -   , No ,,
South Kordofan,SD07,Ar Rashad,SD07093," 22,379 ", IDPs , -   ," 6,020 "," 17,756 "," 10,600 "," 4,073 "," 10,317 ", -   ," 20,141 ", -   ,,,,3," 20,141 "," 20,141 ", No ,,
South Kordofan,SD07,Al Quoz,SD07094," 8,685 ", IDPs ," 6,080 "," 1,721 "," 7,796 "," 2,084 "," 1,581 "," 6,080 "," 5,790 "," 7,796 ", -   ,,,,4," 7,796 "," 7,796 ", Yes ,,
South Kordofan,SD07,Dilling,SD07095," 42,405 ", IDPs , -   ," 17,731 "," 38,165 "," 10,177 "," 7,719 "," 38,165 "," 28,270 "," 38,165 ", -   ,,,,5," 38,165 "," 41,230 ", Yes ,,
South Kordofan,SD07,Heiban,SD07096, -   , IDPs , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,3, -   , -   , No ,,
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097," 37,180 ", IDPs ," 26,026 "," 12,575 "," 33,462 "," 29,744 "," 6,768 "," 24,441 "," 33,462 "," 33,462 ", -   ,,,,4," 33,462 "," 33,462 ", Yes ,,
South Kordofan,SD07,Kadugli,SD07098," 86,095 ", IDPs ," 77,486 "," 31,403 "," 77,486 "," 68,876 "," 15,672 "," 77,035 "," 34,937 "," 77,035 ", -   ,,,,5," 77,486 "," 77,486 ", Yes ,,
South Kordofan,SD07,Al Buram,SD07099, -   , IDPs , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,4, -   , -   , No ,,
South Kordofan,SD07,Habila - SK,SD07103," 11,235 ", IDPs ," 7,865 "," 4,736 "," 10,112 "," 8,337 "," 2,045 "," 7,865 "," 10,111 "," 10,112 ", -   ,,,,5," 10,112 "," 11,235 ", Yes ,,
